name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Dark Horse,PRISM (Deluxe),Katy Perry,5jrdCoLpJSvHHorevXBATy,10/18/2013,79,215672,0.645,0.00314,0.585,0,0.165,0.353,-6.122,0.0513,15,16,17,Sad
Someone Like You,21,Adele,4kflIGfjdZJW4ot2ioixTB,1/19/2011,1,285040,0.559,0.892,0.33,0,0.0975,0.285,-8.251,0.0285,15,16,17,Sad
Fix You,X&Y,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,6/7/2005,84,295533,0.209,0.164,0.417,0.00196,0.113,0.124,-8.74,0.0338,15,16,17,Sad
Creep,Pablo Honey,Radiohead,6b2oQwSGFkzsMtQruIWm2p,2/22/1993,3,238640,0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,15,16,17,Sad
Mr. Brightside,Hot Fuss,The Killers,3n3Ppam7vgaVa1iaRUc9Lp,6/15/2004,67,222200,0.355,0.00119,0.918,0,0.0971,0.24,-4.36,0.0746,15,16,17,Sad
In the End,Hybrid Theory (Bonus Edition),Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,10/24/2000,88,216880,0.556,0.00958,0.864,0,0.209,0.4,-5.87,0.0584,15,16,17,Angry
Under Pressure - Remastered 2011,Hot Space (2011 Remaster),Queen,2fuCquhmrzHpu5xcA1ci9x,5/3/1982,82,248440,0.671,0.429,0.712,0,0.103,0.462,-7.815,0.0476,15,16,17,Angry
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,8/7/2020,81,187541,0.935,0.0194,0.454,0,0.0824,0.357,-7.509,0.375,15,16,17,Angry
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6dGnYIeXmHdcikdzNNDMm2,9/26/1969,85,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,15,16,17,Angry
In the End,Hybrid Theory (Bonus Edition),Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,10/24/2000,88,216880,0.556,0.00958,0.864,0,0.209,0.4,-5.87,0.0584,15,16,17,Angry
Karma Police,OK Computer,Radiohead,3SVAN3BRByDmHOhKyIDxfC,5/28/1997,0,264066,0.36,0.0626,0.505,9.22E-05,0.172,0.317,-9.129,0.026,15,16,17,Fear
Blinding Lights,After Hours,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,3/20/2020,92,200040,0.514,0.00146,0.73,9.54E-05,0.0897,0.334,-5.934,0.0598,15,16,17,Fear
champagne problems,evermore (deluxe version),Taylor Swift,1gcyHQpBQ1lfXGdhZmWrHP,1/7/2021,73,244000,0.462,0.92,0.24,0,0.113,0.32,-12.077,0.0377,15,16,17,Fear
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,12/7/2012,88,233478,0.726,0.049,0.698,0,0.309,0.867,-4.165,0.0431,15,16,17,Fear
Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,4Km5HrUvYTaSUfiSGPJeQR,4/7/2017,5,343150,0.926,0.0611,0.666,0,0.123,0.168,-5.314,0.244,15,16,17,Fear
Wow.,Hollywood's Bleeding,Post Malone,7xQAfvXzm3AkraOtGPWIZg,9/6/2019,83,149546,0.829,0.136,0.539,1.78E-06,0.103,0.388,-7.359,0.208,15,16,17,Fear
Till I Collapse,The Eminem Show,Eminem,4xkOaSrkexMciUUogZKVTS,5/26/2002,87,297786,0.548,0.0622,0.847,0,0.0816,0.1,-3.237,0.186,15,16,17,Fear
